ngrams,freq,prop
get top ,18,8.05E-06
call say ,18,8.05E-06
hear one ,18,8.05E-06
red flag ,18,8.05E-06
ass lol ,18,8.05E-06
week two ,18,8.05E-06
come town ,18,8.05E-06
now ok ,18,8.05E-06
prais god ,18,8.05E-06
see lol ,18,8.05E-06
lol let ,18,8.05E-06
knock door ,18,8.05E-06
kid got ,18,8.05E-06
pray god ,18,8.05E-06
job done ,18,8.05E-06
welcom rt ,18,8.05E-06
lol d ,18,8.05E-06
put one ,18,8.05E-06
yet come ,18,8.05E-06
may know ,18,8.05E-06
get far ,18,8.05E-06
car go ,18,8.05E-06
hand hand ,18,8.05E-06
bad go ,18,8.05E-06
hate u ,18,8.05E-06
just buy ,18,8.05E-06
soon can ,18,8.05E-06
none us ,18,8.05E-06
miami heat ,18,8.05E-06
haha u ,18,8.05E-06
guy got ,18,8.05E-06
rais hand ,18,8.05E-06
know ur ,18,8.05E-06
bro just ,18,8.05E-06
war ii ,18,8.05E-06
can fix ,18,8.05E-06
get lol ,18,8.05E-06
day done ,18,8.05E-06
yet get ,18,8.05E-06
also know ,18,8.05E-06
lil sis ,18,8.05E-06
year lol ,18,8.05E-06
ice cold ,18,8.05E-06
sinc s ,18,8.05E-06
know even ,18,8.05E-06
day yes ,18,8.05E-06
even now ,18,8.05E-06
also can ,18,8.05E-06
hand just ,18,8.05E-06
care less ,18,8.05E-06
lol hate ,18,8.05E-06
tri put ,18,8.05E-06
im tri ,18,8.05E-06
save date ,18,8.05E-06
ok ok ,18,8.05E-06
now year ,18,8.05E-06
cuz know ,18,8.05E-06
day lot ,18,8.05E-06
th day ,18,8.05E-06
know may ,18,8.05E-06
hot hot ,18,8.05E-06
rt win ,18,8.05E-06
got rid ,18,8.05E-06
come lol ,18,8.05E-06
say it鈥檚 ,18,8.05E-06
see y ,18,8.05E-06
d haha ,18,8.05E-06
win just ,18,8.05E-06
abl go ,18,8.05E-06
know lot ,18,8.05E-06
th period ,18,8.05E-06
ya go ,18,8.05E-06
week may ,17,7.60E-06
d know ,17,7.60E-06
th year ,17,7.60E-06
send dm ,17,7.60E-06
bad boy ,17,7.60E-06
life way ,17,7.60E-06
ice tea ,17,7.60E-06
tri come ,17,7.60E-06
tri kill ,17,7.60E-06
kill us ,17,7.60E-06
soon got ,17,7.60E-06
old boy ,17,7.60E-06
ha yes ,17,7.60E-06
cool kid ,17,7.60E-06
life know ,17,7.60E-06
get less ,17,7.60E-06
come handi ,17,7.60E-06
lol welcom ,17,7.60E-06
get hot ,17,7.60E-06
n u ,17,7.60E-06
year may ,17,7.60E-06
minut just ,17,7.60E-06
may pm ,17,7.60E-06
know bad ,17,7.60E-06
u let ,17,7.60E-06
lot go ,17,7.60E-06
i鈥檓 just ,17,7.60E-06
mom say ,17,7.60E-06
ppl say ,17,7.60E-06
year end ,17,7.60E-06
cup tea ,17,7.60E-06
minut go ,17,7.60E-06
just year ,17,7.60E-06
day end ,17,7.60E-06
et al ,17,7.60E-06
part day ,17,7.60E-06
know you鈥檙 ,17,7.60E-06
r r ,17,7.60E-06
th ave ,17,7.60E-06
day say ,17,7.60E-06
two us ,17,7.60E-06
save day ,17,7.60E-06
don鈥檛 even ,17,7.60E-06
win big ,17,7.60E-06
day big ,17,7.60E-06
man hate ,17,7.60E-06
guy say ,17,7.60E-06
dot com ,17,7.60E-06
lol wow ,17,7.60E-06
one minut ,17,7.60E-06
may one ,17,7.60E-06
say hate ,17,7.60E-06
ipad app ,17,7.60E-06
jan th ,17,7.60E-06
just u ,17,7.60E-06
year oh ,17,7.60E-06
call get ,17,7.60E-06
say 鈥淚 ,17,7.60E-06
also one ,17,7.60E-06
new comput ,17,7.60E-06
five six ,17,7.60E-06
it鈥檚 go ,17,7.60E-06
one bad ,17,7.60E-06
now d ,17,7.60E-06
till get ,17,7.60E-06
hit gym ,17,7.60E-06
week come ,17,7.60E-06
now hate ,17,7.60E-06
send one ,17,7.60E-06
us new ,17,7.60E-06
go heat ,17,7.60E-06
send u ,17,7.60E-06
just add ,17,7.60E-06
ok mayb ,17,7.60E-06
win now ,17,7.60E-06
鈥c get ,17,7.60E-06
see d ,16,7.16E-06
dad just ,16,7.16E-06
let put ,16,7.16E-06
haha got ,16,7.16E-06
go d ,16,7.16E-06
come u ,16,7.16E-06
rt guy ,16,7.16E-06
just begin ,16,7.16E-06
six week ,16,7.16E-06
