name,freq
desper,142
error,142
fault,142
illinoi,142
massiv,142
ncaa,142
plot,142
prep,142
pretend,142
raw,142
upgrad,142
violenc,142
amazon,141
beast,141
canada,141
embrac,141
faster,141
genius,141
grind,141
hmm,141
larger,141
sight,141
solo,141
we’r,141
bud,140
delight,140
dessert,140
elimin,140
forgiv,140
fuel,140
hood,140
intellig,140
lone,140
lyric,140
owe,140
presenc,140
resist,140
teeth,140
theori,140
wheel,140
yanke,140
appropri,139
cheat,139
core,139
hater,139
henri,139
hrs,139
invent,139
italian,139
mexican,139
western,139
alarm,138
chose,138
christi,138
fascin,138
habit,138
instant,138
maryland,138
neck,138
occupi,138
ocean,138
tix,138
toy,138
transform,138
translat,138
wayn,138
biz,137
clark,137
era,137
frame,137
kelli,137
kno,137
librarian,137
nashvill,137
regul,137
arena,136
assign,136
bath,136
insight,136
lemon,136
mini,136
musician,136
pregnant,136
slip,136
threat,136
turkey,136
visual,136
xoxo,136
asian,135
bound,135
bug,135
decent,135
distract,135
irish,135
log,135
roof,135
sheet,135
tall,135
weed,135
brunch,134
categori,134
homeless,134
humor,134
imma,134
ink,134
ipod,134
mcdonald,134
pirat,134
possess,134
prosecutor,134
stat,134
stoke,134
tan,134
thus,134
classroom,133
exchang,133
i’ll,133
layer,133
perri,133
perspect,133
religion,133
smaller,133
spur,133
stood,133
advoc,132
agreement,132
android,132
archiv,132
defeat,132
drove,132
enforc,132
fame,132
gate,132
inc,132
jay,132
jus,132
knick,132
medicin,132
mitt,132
moral,132
outta,132
oven,132
pat,132
payment,132
princ,132
prob,132
reject,132
sept,132
server,132
softwar,132
sore,132
violat,132
dang,131
enemi,131
eve,131
grad,131
ident,131
nativ,131
oppos,131
phoenix,131
sand,131
shown,131
spoke,131
stronger,131
tale,131
trash,131
unemploy,131
asset,130
clinic,130
cooper,130
dec,130
ghost,130
guarante,130
jimmi,130
muscl,130
nois,130
shadow,130
sxsw,130
captur,129
cowork,129
doesnt,129
doin,129
equip,129
instruct,129
mrs,129
pittsburgh,129
they’r,129
zombi,129
charm,128
deck,128
distribut,128
fals,128
massag,128
narrat,128
poster,128
ralli,128
sarah,128
snack,128
solv,128
tonit,128
